Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.40785,0,0,0,0,0.701108,-1.00873,0.525192,-0.0962144,0,0,0,0,1.74167,-2.80503,1.60193,-0.31738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29035,0.209945,0.195599,-0.0366978,0.0356689,-0.027353,-0.0975333,0.111889,-0.0316523,0.322456,0.202569,-0.0241935,-0.026388,1.64416,-3.09014,2.02183,-0.452222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12373,0.381081,0.0708385,0.00770397,0.00713356,0.460068,-1.04908,0.804696,-0.208985,0.629834,0.0876115,0.0127501,0.00584101,3.37371,-7.17486,5.3001,-1.34365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.960981,0.481775,0.0681543,0.0142816,0.00156332,-0.943056,2.01066,-1.57937,0.438486,0.907761,0.127144,-0.00729762,-0.00317942,5.20562,-13.0496,11.3465,-3.37986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.913924,0.493413,-0.0229024,-0.0203257,0.000611218,-0.867215,2.00891,-1.68644,0.497082,1.14324,0.0991021,-0.00179805,0.000649757,4.91137,-12.9459,11.8269,-3.70172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900961,0.413844,-0.122961,-0.0220458,0.000280438,-0.822952,2.02667,-1.77433,0.540648,1.32527,0.0808377,-0.00927091,-0.00113526,3.35165,-9.02111,8.39698,-2.67416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.932462,0.257777,-0.188281,-0.00425936,0.00121381,-0.866137,2.16306,-1.89761,0.574109,1.44532,0.0429213,-0.0086653,0.000388902,1.25384,-3.2997,2.98746,-0.923238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.950612,0.0540595,-0.210153,-0.0021457,-0.00103198,-0.670859,1.72564,-1.52653,0.461334,1.4978,0.00893378,-0.00861285,-6.21318e-05,-0.457536,1.08686,-0.916764,0.268315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.925793,-0.159651,-0.203314,0.00337327,0.000841914,-0.679369,1.92625,-1.82766,0.583716,1.48024,-0.0260483,-0.00856899,-9.53662e-05,-2.26238,5.78572,-5.16534,1.58538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.893868,-0.34385,-0.161238,-0.00597043,-0.00180458,-0.138386,0.716896,-0.843716,0.305216,1.39347,-0.0618358,-0.00921976,0.000130369,-4.56664,12.1834,-11.3136,3.60666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.938015,-0.464488,-0.0822244,0.0239877,-0.000482307,0.0635504,0.0360842,-0.139382,0.0644523,1.24153,-0.0932014,-0.0064189,0.000704911,-5.16764,13.1886,-11.6981,3.55929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04932,-0.499267,0.0109997,0.0202431,0.00112972,0.225735,-0.427186,0.293939,-0.0715552,1.03155,-0.110676,-0.00243831,0.000450079,-3.99487,9.12853,-7.24546,1.97208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.19492,-0.441756,0.0859159,0.0132772,0.00090637,0.113377,-0.195494,0.121406,-0.0265365,0.773331,-0.117743,-0.00111951,7.71614e-05,-2.59754,5.21435,-3.63525,0.869018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.21431,-0.302587,0.136316,0.00752396,0.000696868,0.217175,-0.41508,0.277864,-0.064192,0.478952,-0.121755,-0.00053044,6.53672e-05,-2.70193,5.33904,-3.66348,0.8619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23457,-0.107485,0.161775,0.00243392,0.000626387,0.217059,-0.430305,0.293433,-0.0683415,0.162179,-0.123493,-0.000174528,4.10954e-05,-2.58827,5.03169,-3.39639,0.786021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25673,0.107485,0.161775,0.00168853,0.000265236,0.569179,-1.19991,0.839787,-0.197558,-0.162179,-0.123493,0.000174528,4.10954e-05,-2.27986,4.35501,-2.88821,0.656689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1728,0.302587,0.0681581,-0.00376198,-0.000348434,1.33494,-2.75348,1.96546,-0.480255,-0.478952,-0.121755,0.00053044,6.53672e-05,-2.8417,5.81875,-4.13595,1.00782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04679,0.441756,0.0429579,-0.00663861,-0.000453185,0.872131,-2.05117,1.65701,-0.456606,-0.773331,-0.117743,0.00111951,7.71614e-05,-4.02643,9.24099,-7.36091,2.00988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.947062,0.499267,0.00549985,-0.0101216,-0.000564859,-0.868479,2.10537,-1.80243,0.533745,-1.03155,-0.110676,0.00243831,0.000450079,-4.87809,12.3991,-10.9287,3.30067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.893868,0.464488,-0.0411122,-0.0119939,0.000241154,-3.67003,9.75674,-9.03997,2.87743,-1.24153,-0.0932014,0.0064189,0.000704911,-4.44685,12.0221,-11.2535,3.60666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.91695,0.34385,-0.0806188,-0.00776438,0.000902292,-4.98045,12.9911,-11.781,3.66546,-1.39347,-0.0618358,0.00921976,0.000130369,-2.2444,5.9556,-5.45719,1.70973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.950612,0.159651,-0.101657,-0.0029819,0.000744234,-4.92286,12.4249,-10.8892,3.27217,-1.48024,-0.0260483,0.00856899,-9.53662e-05,-0.348885,0.949728,-0.868678,0.268315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.941455,-0.0540595,-0.105077,0.00107285,0.000515991,-4.85311,12.3953,-10.9833,3.33552,-1.4978,0.00893378,0.00861285,-6.21318e-05,1.30377,-3.25538,2.84525,-0.856129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900961,-0.257777,-0.0941405,0.00490286,0.00107298,-4.45213,11.9469,-11.0966,3.52858,-1.44532,0.0429213,0.0086653,0.000388902,3.49532,-9.2136,8.46819,-2.67416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.905194,-0.413844,-0.0614803,0.0110229,0.000247901,-2.14642,5.78581,-5.37976,1.70938,-1.32527,0.0808377,0.00927091,-0.00113526,5.20734,-13.7743,12.6604,-3.99144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.995651,-0.493413,-0.0206735,0.0101629,0.000630935,0.274023,-0.562913,0.422783,-0.112227,-1.14324,0.0991021,0.00179805,0.000649757,4.46567,-10.7052,8.93217,-2.55818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14969,-0.481775,0.0340771,0.0120879,-0.00256544,1.11891,-2.35159,1.70925,-0.425277,-0.907761,0.127144,0.00729762,-0.00317942,2.93217,-6.17997,4.5022,-1.12224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18924,-0.381081,0.0354192,-0.00385199,0.00356678,1.51602,-2.94807,2.02309,-0.47984,-0.629834,0.0876115,-0.0127501,0.00584101,2.70834,-5.31778,3.67064,-0.873932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.44878,-0.209945,0.129223,0.0183489,-0.0178344,0.779802,-1.37333,0.821382,-0.166221,-0.322456,0.202569,0.0241935,-0.026388,1.18701,-2.09086,1.25074,-0.253144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
